,max_concentration,min_concentration
pep_c,-4.264352788463385,-4.264356278189106
3php_c,-14.508655995137154,-14.508657740000022
nadh_c,-6.214608097994046,-14.508657740000004
nadph_c,-3.912023005,-12.206072647005957
co2_c,-9.210340372000001,-9.21034386172581
13dpg_c,-9.29774034957844,-9.297743839304175
pyr_c,-13.03812595303838,-13.03812944276419
g3p_c,-3.912023005,-3.9120264947257333
nad_c,-3.912023005,-12.206072647005957
accoa_c,-3.912023005,-3.912026494725809
adp_c,-6.214608097994046,-14.508657740000004
coa_c,-14.508654250274192,-14.50865774
flxso_c,-3.912023005,-12.592972102133468
flxr_c,-5.827708642866533,-14.50865774
2pg_c,-5.93921648561244,-5.939219975338162
3pg_c,-4.434554979194705,-4.434556724057571
nadp_c,-6.214608097994046,-14.508657740000004
pi_c,-5.8971145837735754,-5.897118073499309
amp_c,-6.214608097994046,-14.508657740000004
atp_c,-3.912023005,-12.206072647005957
